,Technique,Feature,Percentage,mean,std,count,IC
0,Average3v,Pres,5,0.9585734338471125,0.006223114567191486,50,0.001724927655607389
1,Average3v,Pres,10,0.9598519408932797,0.0025071362053377287,50,0.0006949299310285983
2,Average3v,Pres,25,0.9601068875859611,0.0015111677030122713,50,0.00041886661976764383
3,Average3v,Pres,50,0.9603354126384402,0.0006669277377990303,50,0.00018485954047609
4,Average3v,Temp,5,0.8254917083910924,0.030389310468003,50,0.008423332319390964
5,Average3v,Temp,10,0.8291517779959598,0.011476873423852235,50,0.0031811685539387957
6,Average3v,Temp,25,0.8291881010300688,0.004905080942089743,50,0.0013595940872773715
7,Average3v,Temp,50,0.8299566888910859,0.0025840938381982057,50,0.0007162611065674174
8,Average3v,UR,5,0.7480668116372532,0.034022125735866084,50,0.00943027883396852
9,Average3v,UR,10,0.7342890946744205,0.016474010884318775,50,0.004566278937391144
10,Average3v,UR,25,0.7334182235106586,0.009094462914830128,50,0.0025208101868138266
11,Average3v,UR,50,0.7344025811668787,0.003998030004825018,50,0.001108177014710332
12,Average4v,Pres,5,0.9365708307722527,0.010835556749547557,50,0.003003407907631206
13,Average4v,Pres,10,0.9386874052477124,0.003986192847837927,50,0.0011048959824827564
14,Average4v,Pres,25,0.9387456109753808,0.0025091487291430585,50,0.0006954877639162582
15,Average4v,Pres,50,0.9389575131873853,0.001126034933310929,50,0.0003121152240853631
16,Average4v,Temp,5,0.8629655454186062,0.024814749858742744,50,0.006878171345902406
17,Average4v,Temp,10,0.8674873895914924,0.00848997078547435,50,0.002353256596041242
18,Average4v,Temp,25,0.8677500102722423,0.004195247073019483,50,0.0011628417925179102
19,Average4v,Temp,50,0.8680861506117468,0.0020848710357865116,50,0.0005778861483545228
20,Average4v,UR,5,0.7926786012720519,0.030399785983354133,50,0.008426235930748427
21,Average4v,UR,10,0.7858043994993144,0.013288704033995341,50,0.0036833731482730503
22,Average4v,UR,25,0.7837804300955689,0.0072720626564825325,50,0.0020156758893059568
23,Average4v,UR,50,0.7842520084351687,0.0033884903837038682,50,0.0009392243563094427
24,LastValue,Pres,5,0.9867351512570838,0.002296429848021923,50,0.000636526181744812
25,LastValue,Pres,10,0.9870158444512598,0.0010990821800461448,50,0.0003046444393201009
26,LastValue,Pres,25,0.9869333305684563,0.0006872719127251099,50,0.00019049855444275288
27,LastValue,Pres,50,0.9871342223577929,0.0003150443475670511,50,8.732423322654892e-05
28,LastValue,Temp,5,0.9401526967490984,0.014004338533055627,50,0.0038817332660898707
29,LastValue,Temp,10,0.9399185085237396,0.005999995842464214,50,0.0016630834368306369
30,LastValue,Temp,25,0.9395742782484817,0.002379962620030168,50,0.0006596798593818676
31,LastValue,Temp,50,0.939772326011067,0.0014015957502882298,50,0.0003884953821033932
32,LastValue,UR,5,0.9026507940381922,0.017059207669260466,50,0.004728484229840735
33,LastValue,UR,10,0.8963415603899401,0.008281431372284908,50,0.002295453481987786
34,LastValue,UR,25,0.8956830534831203,0.0033761704430282672,50,0.000935809505729801
35,LastValue,UR,50,0.8961049848445901,0.001963636645913061,50,0.0005442823074408576
36,NN1,Pres,5,0.9944241203908155,0.0018181943420189075,50,0.0005039684984029513
37,NN1,Pres,10,0.9944413219890985,0.0009086844053977066,50,0.00025186983851355205
38,NN1,Pres,25,0.9939954708710652,0.0006457941811318905,50,0.00017900172507467893
39,NN1,Pres,50,0.9911406047494447,0.00038594412127015515,50,0.00010697628673073112
40,NN1,Temp,5,0.9671658520590879,0.010243807131006945,50,0.002839386295752644
41,NN1,Temp,10,0.9660837795478286,0.005089853164368459,50,0.001410809393175283
42,NN1,Temp,25,0.9655536201005426,0.002278501737921633,50,0.0006315568544745798
43,NN1,Temp,50,0.9625479623999253,0.001847014175482054,50,0.0005119568018857601
44,NN1,UR,5,0.9323969573667457,0.01626976889041806,50,0.004509666985303196
45,NN1,UR,10,0.9291650893361556,0.006614010171965828,50,0.0018332763983229805
46,NN1,UR,25,0.9278072679553507,0.003601561091292289,50,0.0009982834580102296
47,NN1,UR,50,0.9261146928715714,0.002757033080006356,50,0.0007641965378878401
48,NN2,Pres,5,0.9937335938080519,0.0027450457237610097,50,0.0007608738733150266
49,NN2,Pres,10,0.9943420879877327,0.000890829362875747,50,0.000246920764170544
50,NN2,Pres,25,0.9926600828772885,0.0007229467583482293,50,0.00020038693543922292
51,NN2,Pres,50,0.9902638289845543,0.0006084376453299184,50,0.00016864721190823495
52,NN2,Temp,5,0.9696122723110547,0.009021473936193751,50,0.002500579045888407
53,NN2,Temp,10,0.968155167171853,0.00489698151611284,50,0.0013573490821900958
54,NN2,Temp,25,0.9672104670520288,0.0027002231740321896,50,0.0007484499246978027
55,NN2,Temp,50,0.9610249077059378,0.009216333541456127,50,0.0025545903803172454
56,NN2,UR,5,0.9373696808958649,0.013266808345631279,50,0.003677304084624966
57,NN2,UR,10,0.9335280064428738,0.005879866562384773,50,0.001629785911094972
58,NN2,UR,25,0.9316679411473601,0.0031609943241028846,50,0.0008761668245044207
59,NN2,UR,50,0.9256994209248198,0.0032009280026932185,50,0.0008872356720801555
